wikidata_id,name,zone_type,zone_type_local_name,expected_min,expected_max,is_known_failure,wikidata_ontology
Q232,Kazakhstan,state,,1,4242,yes,
Q252,Indonésie,state,,1,4242,yes,
Q265,Ouzbékistan,state,,1,4242,yes,
Q334,Singapour,state,,1,4242,yes,
Q398,Bahreïn,state,,1,4242,yes,
Q399,Arménie,state,,1,4242,yes,
Q423,Corée du Nord,state,,1,4242,yes,
Q424,Cambodge,state,,1,4242,yes,
Q574,Timor oriental,state,,1,4242,yes,
Q668,Inde,state,,1,4242,yes,
Q711,Mongolie,state,,1,4242,yes,
Q794,Iran,state,,1,4242,yes,
Q796,Irak,state,,1,4242,yes,
Q801,Israël,state,,1,4242,yes,
Q805,Yémen,state,,1,4242,yes,
Q810,Jordanie,state,,1,4242,yes,
Q813,Kirghizistan,state,,1,4242,yes,
Q817,Koweït,state,,1,4242,yes,
Q819,Laos,state,,1,4242,yes,
Q822,Liban,state,,1,4242,yes,
Q826,Maldives,state,,1,4242,yes,
Q833,Malaisie,state,,1,4242,yes,
Q836,Birmanie,state,,1,4242,yes,
Q837,Népal,state,,1,4242,yes,
Q842,Oman,state,,1,4242,yes,
Q843,Pakistan,state,,1,4242,yes,
Q846,Qatar,state,,1,4242,yes,
Q851,Arabie saoudite,state,,1,4242,yes,
Q854,Sri Lanka,state,,1,4242,yes,
Q858,Syrie,state,,1,4242,yes,
Q863,Tadjikistan,state,,1,4242,yes,
Q865,Taïwan,state,,1,4242,yes,
Q869,Thaïlande,state,,1,4242,yes,
Q874,Turkménistan,state,,1,4242,yes,
Q878,Émirats arabes unis,state,,1,4242,yes,
Q881,Viêt Nam,state,,1,4242,yes,
Q884,Corée du Sud,state,,1,4242,yes,
Q889,Afghanistan,state,velaya'at,30,40,yes,
Q902,Bangladesh,state,,1,4242,yes,
Q917,Bhoutan,state,,1,4242,yes,
Q921,Brunei,state,,1,4242,yes,
Q928,Philippines,state,,1,4242,yes,
Q25,pays de Galles,state,,1,4242,yes,
Q27,Irlande,state,county,20,30,yes,
Q28,Hongrie,state,megye,15,25,,
Q33,Finlande,state,maakuntaa,15,25,,
Q34,Suède,state,län,15,25,,
Q35,Danemark,state,regioner,5,10,,
Q36,Pologne,state,województwa,15,20,,
Q37,Lituanie,state,apskritys,8,12,,
Q40,Autriche,state,bundesländer,7,12,,
Q41,Grèce,state,,1,4242,yes,
Q43,Turquie,state,,1,4242,yes,
Q145,Royaume-Uni,state,,1,4242,yes,
Q184,Biélorussie,state,,1,4242,yes,
Q189,Islande,state,,1,4242,yes,
Q191,Estonie,state,,1,4242,yes,
Q211,Lettonie,state,,1,4242,yes,
Q212,Ukraine,state,,1,4242,yes,
Q213,République tchèque,state,,1,4242,yes,
Q214,Slovaquie,state,,1,4242,yes,
Q215,Slovénie,state,,1,4242,yes,
Q217,Moldavie,state,,1,4242,yes,
Q218,Roumanie,state,,1,4242,yes,
Q219,Bulgarie,state,,1,4242,yes,
Q221,République de Macédoine,state,,1,4242,yes,
Q222,Albanie,state,,1,4242,yes,
Q224,Croatie,state,,1,4242,yes,
Q225,Bosnie-Herzégovine,state,,1,4242,yes,
Q227,Azerbaïdjan,state,,1,4242,yes,
Q228,Andorre,state,,1,4242,yes,
Q230,Géorgie,state,,1,4242,yes,
Q232,Kazakhstan,state,,1,4242,yes,
Q233,Malte,state,,1,4242,yes,
Q235,Monaco,city,,1,1,,
Q235,Monaco,state,,0,0,,
Q236,Monténégro,state,,1,4242,yes,
Q237,Vatican,state,,0,0,,
Q238,Saint-Marin,state,,1,4242,yes,
Q347,Liechtenstein,state,,1,4242,yes,
Q403,Serbie,state,,1,4242,yes,
Q408,Australie,state,,1,4242,yes,
Q664,Nouvelle-Zélande,state,,1,4242,yes,
Q672,Tuvalu,state,,1,4242,yes,
Q678,Tonga,state,,1,4242,yes,
Q683,Samoa,state,,1,4242,yes,
Q685,Salomon,state,,1,4242,yes,
Q686,Vanuatu,state,,1,4242,yes,
Q691,Papouasie-Nouvelle-Guinée,state,,1,4242,yes,
Q695,Palaos,state,,1,4242,yes,
Q697,Nauru,state,,1,4242,yes,
Q702,Micronésie,state,,1,4242,yes,
Q709,îles Marshall,state,,1,4242,yes,
Q710,Kiribati,state,,1,4242,yes,
Q712,Fidji,state,,1,4242,yes,
Q26988,îles Cook,state,,1,4242,yes,
Q34020,Niue,state,,1,4242,yes,
